"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"MA03-2";"MA03-2";"IMU";"PIN HEADER";"";
"1";"";"MA04-1";"MA04-1";"REAR-MOTOR";"PIN HEADER";"";
"1";"";"MA04-2";"MA04-2";"RC";"PIN HEADER";"";
"2";"";"PINHD-1X2";"1X02";"5V1, 5V2";"PIN HEADER";"";
"3";"1792863";"1792863";"CONN_1792863_PXC";"FRT_MTR, PWR_IN, REAR_PWR";"";"";
"1";"3220-10-0100-00";"3220-10-0100-00";"CONN_3220-10-0100-00_CNC";"FRT_ENCODE";"";"";
"1";"ABX00012";"ABX00012";"ARDUINO_ABX00012";"U2";"Mkrzero Brd With Headers Mounted";"";
"1";"CL03A105MQ3CSNC";"CL03A105MQ3CSNC";"CAP_CL03_SAM";"R-PWM-C";"";"";
"2";"CL05A105KP5NNNC";"CL05A105KP5NNNC";"CAPC1005X55N";"C1, C2";"Capacitor: ceramic; 1uF; 10V; X5R; Â±10%; SMD; 0402";"";
"1";"CL05B104KB54PNC";"CL05B104KB54PNC";"CAP_CL_05_SAM";"CVM2";"";"";
"1";"CSRL3-0R15F8";"CSRL3-0R15F8";"RES_CSRL3_3-200MOHM_RDN";"RRS";"";"";
"1";"ERJ1GNF6802C";"ERJ1GNF6802C";"RES_ERJ1GNF6802C";"PWM";"";"";
"1";"GRM022R71A271KA01L";"GRM022R71A271KA01L";"CAPC0402X22N";"COSC";"SMD Capacitor X7R(EIA) with Capacitance: 270pF Tol. 10%. Rated Voltage: 10Vdc";"";
"2";"IL-712";"IL-712";"8PINSOIC";"U$2, U$7";"";"";
"1";"NID100-5";"NID100-5";"CONV_NID100-5";"PS1";"Non-Isolated PoL Module DC DC Converter 1 Output 5V 11A 10.5V - 53V Input";"";
"1";"RC0100JR-075K1L";"RC0100JR-075K1L";"RESC0402X15N";"ROSC";"RES SMD 5.1K OHM 5% 1/32W 01005";"";
"1";"TB67H401FTG(O,EL)";"TB67H401FTG(O,EL)";"P-VQFN48-0707-0P50-004_TOS";"U1";"";"";
"1";"UVY1H102MHD";"UVY1H102MHD";"CAP_12.5_X_25_NCH";"C3";"";"";
